prot	counter
Q92685	20
Q92685-2	18
Q6NS38	14
Q6NS38-2	10
Q9UM73	76
P55789	10
P55789-2	5
P02760	17
Q86WK7	23
Q8IY45	14
Q8IY45-2	13
Q9BXJ7	17
A8MUL3	3
Q3MIX3	38
Q08828	51
Q08462	54
Q08462-2	52
P40145	69
Q9UEY8	31
Q9UEY8-2	31
P07327	19
P00325	21
P00325-2	18
P12236	22
P10109	14
Q8N4X5	44
Q8N4X5-2	44
Q8N4X5-3	16
Q8N4X5-4	46
P42568	26
P42568-2	26
P55196	102
P55196-2	91
P55196-1	103
P55196-3	98
P55196-6	92
P55196-5	102
Q8N556	34
Q8N556-2	39
C9J202	12
P06280	27
A6NIR3	28
Q9HCK5	46
Q9BYV1	34
Q9BYV1-2	31
P30556	14
P50052	14
Q8IVF2	227
Q8IVF2-2	38
Q8IVF2-3	224
Q09666	273
Q09666-2	5
A9YTQ3	42
A9YTQ3-2	44
A9YTQ3-3	44
O95433	24
O95433-2	20
Q96JD6	18
Q96JD6-2	15
Q96JD6-3	14
Q96JD6-4	17
Q96JD6-5	13
Q495B1	31
Q495B1-2	29
Q495B1-6	0
Q495B1-1	30
Q9NWT8	7
Q5T1N1	44
Q5T1N1-2	23
Q5T1N1-3	34
Q5T1N1-4	38
Q9Y243	32
Q9Y243-2	31
O94788	26
O94788-2	25
O94788-3	25
O94788-4	20
O75891	59
O75891-2	52
O75891-3	60
O75891-4	30
Q96Q35	27
Q96Q35-2	28
P20292	6
P05062	18
Q99424	37
O15254	43
O15254-2	39
P13798	33
Q6NUN0	36
Q6NUN0-2	13
Q9H6R3	45
Q9H6R3-2	21
Q08043	63
Q8TDG2	22
P36896	24
P36896-2	23
P36896-3	22
P36896-4	24
P36896-5	24
P07311	8
P07311-2	5
O75078	33
O75078-2	26
Q13444	34
Q13444-2	32
Q13444-3	34
Q13444-4	33
Q13444-5	33
Q13444-6	34
Q13444-7	34
Q13444-8	33
Q13444-9	33
Q13444-10	31
Q13444-11	18
Q13444-12	32
Q13444-13	23
O75689	24
O75689-2	26
O75689-3	21
O00116	37
Q9BUB4	31
Q9BUB4-2	23
Q8N7X0	92
Q8N7X0-2	37
P00326	21
P28332	19
P28332-2	19
C9JUS6	9
Q3LIE5	9
Q3LIE5-3	9
Q16186	12
Q5I7T1	20
Q8TF27	27
Q5VUJ5	29
Q8N302	32
Q8N302-2	8
Q8N302-3	8
Q53H12	22
Q53H12-2	5
Q9UL18	52
Q12904	18
Q12904-2	20
Q96IF1	31
Q96IF1-2	8
P0CW23	4
A6NHY2	36
Q9ULX6	28
Q9ULX6-2	27
Q8N1Q8	12
P21399	48
O00767	17
Q99798	40
Q8N9L9	23
Q9NUZ1	38
Q9NUZ1-2	37
Q9NUZ1-3	20
Q9NUZ1-4	40
Q96QF7	24
Q9NUB1	35
Q9NUB1-2	35
Q9NUB1-3	29
Q9NUB1-4	30
Q4G176	34
Q4L235	55
Q4L235-2	51
Q4L235-3	47
Q4L235-4	48
Q8TDY3	20
O60503	70
Q7Z4H4	12
P35318	11
P54922	19
A8MT82	30
Q96PE1	47
Q96PE1-2	41
Q96PE1-3	11
O60241	69
O60241-2	69
O60241-3	68
O60241-4	68
Q6QNK2	29
Q6QNK2-2	17
Q6QNK2-3	14
Q6QNK2-4	31
Q9UHX3	27
Q9UHX3-2	27
Q9UHX3-3	27
Q9UHX3-4	24
Q9UHX3-5	22
Q9UHX3-6	25
Q8IZF5	27
Q8IZF5-2	28
Q8IZF5-3	25
Q8IZF2	59
Q8IZF2-2	56
Q8IZF2-3	53
Q86Y34	24
Q8IZF6	106
Q8IZF6-2	93
Q8IZF6-3	93
Q96K78	37
O00253	7
Q8N157	67
Q8N157-2	58
Q8N157-3	38
Q13155	18
Q16352	36
O43918	35
O43918-2	20
O43918-3	18
O43918-4	20
Q9UKB5	19
P14550	23
C9JRZ8	20
C9JRZ8-2	19
P42330	21
P42330-2	15
O43687	8
O43687-2	6
O75969	53
O43823	28
Q99996	278
Q99996-2	278
Q99996-3	278
Q99996-4	123
Q99996-5	277
Q99996-6	279
Q9P2G1	55
Q9H9L7	9
Q9H9L7-2	5
P31751	35
P31751-2	32
Q9UJX3	32
Q9UJX3-2	32
Q8J025	28
O95996	140
O95996-2	122
O95996-3	140
Q9ULZ1	2
Q9HDC9	23
Q9HDC9-2	17
P02652	5
Q66PJ3	22
Q66PJ3-2	22
Q66PJ3-3	21
Q66PJ3-4	21
Q66PJ3-5	19
Q66PJ3-6	15
Q66PJ3-7	10
Q96P48	77
Q96P48-1	68
Q96P48-2	68
Q96P48-3	77
Q96P48-4	67
Q96P48-5	40
Q96P48-7	63
Q92747	23
Q92747-2	21
O15143	19
Q68CP9	72
Q68CP9-3	68
Q9NXU5	13
Q9H0F7	14
Q9H0F7-2	15
Q9H6L4	9
Q9H6L4-2	7
Q8IUR7	44
Q8IUR7-2	43
Q8IUR7-3	40
Q8IUR7-6	24
Q8IUR7-7	41
Q8IUR7-8	40
Q9P291	27
Q6P1M9	34
Q86WX3	9
Q8NCT1	23
P51690	29
Q96EG1	24
Q5FYB1	19
Q5FYB1-2	15
Q5FYB0	29
Q9H2C2	17
Q8WXI3	29
Q8WXI3-2	27
Q8WXI3-3	24
A6NK59	27
A6NK59-2	17
A6NK59-3	27
Q8WXK1	33
Q9Y575	18
Q9Y575-2	16
Q9Y575-3	21
Q9NWX5	28
Q9NWX5-2	13
P50553	6
Q9NQ33	9
Q6XD76	10
Q9BXN1	21
Q9Y284	4
Q4VNC0	57
O96018	19
O00213	32
O00213-2	32
O00213-3	24
O00213-4	24
O00213-5	24
O00213-6	25
Q9BS18	4
P25098	45
Q8IWT0	8
Q8IWT0-2	6
Q9NP61	33
Q9NP61-2	30
Q9NWB6	15
Q9NWB6-2	17
Q9NWB6-3	14
Q9NR81	34
Q9NR81-2	35
Q9NR81-3	33
Q9NR81-4	24
Q8IW93	49
Q8IW93-2	25
Q96DR7	50
Q96DR7-3	22
Q96DR7-4	44
Q9NX46	17
Q5SW96	15
Q8NFD5	74
Q8NFD5-2	75
Q8NFD5-3	75
Q8NFD5-4	63
Q9Y4X5	28
P29374	77
P29374-2	73
P29374-3	73
Q8NHP1	16
Q8NHP1-2	7
P36404	10
P36404-2	7
P40617	11
P49703	11
Q9NVT9	13
Q9NVT9-2	9
Q5W041	52
Q5W041-3	41
Q5W041-4	52
Q5W041-5	22
Q6NXE6	25
Q6NXE6-2	24
P61160	21
P61160-2	21
O15033	48
O15033-2	47
P84085	13
A8MVX0	46
A8MVX0-2	48
Q9HCE6	53
Q9HCE6-2	50
Q9HCE6-3	50
Q9HCE6-4	43
Q9HCE6-5	42
O94989	43
Q96PE2	97
Q86VW2	32
Q86VW2-2	31
Q86VW2-3	36
Q8IVW6	31
Q8IVW6-3	26
Q8IVW6-4	31
Q14865	71
Q14865-2	56
Q14865-3	20
Q6T311	10
Q6T311-2	8
Q8N2F6	15
Q8N2F6-2	13
Q8N2F6-3	15
Q8N2F6-4	13
Q8N2F6-5	12
Q8N2F6-6	12
Q8NEN0	51
Q8NEN0-2	40
Q5T2S8	65
Q5T2S8-2	35
Q9H993	20
Q7L311	25
Q9NZ32	24
P56211	7
P56211-2	6
Q9P1U1	21
Q9P1U1-2	16
Q9P1U1-3	18
P59998	13
P59998-2	33
P59998-3	13
P59998-4	6
Q7Z6K5	14
Q7Z6K5-2	22
Q7RTU5	9
O43681	15
Q9NWL6	35
Q9BZE9	29
Q9BZE9-2	35
Q9BZE9-3	25
Q9BZE9-4	22
Q5H913	19
Q5H913-2	17
Q3SXY8	22
Q3SXY8-2	16
Q3SXY8-3	17
Q96IT6	3
P84077	12
P53367	27
P53367-2	26
P53367-3	16
A6NJG6	11
Q92888	48
Q92888-2	48
Q92888-3	49
Q92888-4	49
Q14155	44
Q14155-1	38
Q14155-2	42
Q14155-3	45
Q14155-5	45
Q14155-6	33
P36405	12
A6NH57	9
P27540	33
P27540-2	32
P27540-3	34
P27540-4	32
Q8N7J2	38
Q8N7J2-2	29
Q9UKV5	25
P23109	41
P23109-2	40
Q07075	53
P15144	49
P04745	28
P19961	27
P19961-2	21
O95626	9
A5PLL1	31
P0C6C1	39
A6QL64	118
A6QL64-3	52
A6QL64-4	9
A6QL64-5	9
P03950	10
Q15389	32
Q15389-2	31
Q8N957	34
Q15327	19
Q5XXA6	49
Q5XXA6-2	42
Q5XXA6-3	34
Q32M45	49
Q32M45-2	48
Q32M45-3	23
Q75V66	48
Q6IWH7	41
Q6IWH7-2	12
Q6IWH7-3	37
Q9HCE9	58
Q9HCE9-2	59
O14617	56
O14617-2	51
O14617-3	47
O14617-4	53
O14617-5	58
Q9UPM8	57
Q9UPM8-2	50
O00189	30
Q9NUS5	14
Q9NYG5	4
Q9NYG5-2	8
P02654	3
O14791	19
O14791-2	20
O14791-3	17
Q8IVJ8	8
Q8IVJ8-2	3
Q8IVJ8-3	3
Q7Z2E3	20
Q7Z2E3-2	9
Q7Z2E3-3	16
Q7Z2E3-4	15
Q7Z2E3-5	17
Q7Z2E3-6	7
Q7Z2E3-7	19
Q7Z2E3-8	18
Q7Z2E3-9	17
Q7Z2E3-10	18
Q7Z2E3-11	18
Q7Z2E3-12	3
Q7Z2E3-13	11
P07741	14
P07741-2	12
P78540	15
A1IGU5	41
Q8TER5	73
Q8TER5-2	51
Q8TER5-3	71
Q8TER5-4	71
Q9NR80	36
Q9NR80-3	34
Q9NR80-4	35
Q12774	82
Q12774-2	34
Q7Z628	37
Q7Z628-2	36
O15013	57
O15013-6	57
O15013-7	52
O15013-4	58
O15013-5	54
Q9NZN5	82
Q9NZN5-2	80
Q5VV41	37
Q5VV41-2	24
Q6ZSZ5	63
Q6ZSZ5-2	55
O14497	77
O14497-2	71
O14497-3	68
O95376	27
A6NKF2	17
Q03989	36
Q03989-5	31
Q6DCA0	16
Q9Y2J4	46
Q9Y2J4-2	47
Q9Y2J4-3	46
Q9Y2J4-4	51
Q4VCS5	55
Q4VCS5-2	36
Q9H4A4	32
Q01432	37
Q01432-2	9
Q01432-3	29
Q01432-4	38
Q01432-5	38
Q01432-6	31
Q8N6M6	42
Q8N6M6-2	40
Q8N6M6-3	26
Q8N6M6-4	38
P30533	26
Q86YJ7	36
Q86YJ7-2	27
Q8IVF6	66
Q8IVF6-2	15
Q9BXX3	85
O43423	11
Q01484	224
Q01484-2	106
Q01484-5	107
Q01484-7	29
Q92527	15
Q92527-2	17
A6NFN9	28
A6NFN9-2	35
Q6UB98	108
Q6UB98-2	107
Q9H560	13
Q86SG2	19
Q86SG2-2	17
Q96NW4	61
Q7Z3H0	7
Q7Z3H0-2	16
Q8WVL7	10
Q3KP44	35
Q3KP44-2	21
Q3KP44-3	18
C9JTQ0	15
Q06278	78
Q63HQ0	12
Q63HQ0-2	9
Q92754	18
Q92754-2	16
P53680	7
P53680-2	7
O43299	45
O43299-2	34
O43299-3	24
Q92624	35
Q9UM13	11
Q8NCL9	23
Q96BI3	4
Q96BI3-2	4
Q96BI3-3	2
A6NM10	9
A6NM10-2	10
O43315	7
Q9Y2Y0	8
Q9Y2Y0-2	9
Q15041	7
Q15041-2	6
Q15041-3	6
Q13795	13
Q13795-2	11
Q13795-3	9
Q13795-4	8
Q8N1W1	82
Q8N1W1-2	21
Q8N1W1-3	85
Q8N1W1-4	79
Q8N1W1-5	72
Q8N1W1-6	85
Q5T9G4	19
Q5T9G4-2	22
Q5T9G4-3	20
Q5H9R4	26
Q5H9R4-2	24
Q9HBZ2	30
Q9HBZ2-2	31
Q6UX39	4
Q6UX39-2	4
P04746	27
P04746-2	14
A6NCL7	26
P23582	6
Q9UNK9	17
Q86XS5	17
P16157	99
P16157-4	97
P16157-5	99
P16157-6	97
P16157-3	101
P16157-7	99
P16157-8	99
P16157-9	97
P16157-10	99
P16157-11	97
P16157-12	100
P16157-13	98
P16157-14	103
P16157-15	101
P16157-16	100
P16157-2	93
P16157-17	8
P16157-18	7
P16157-19	5
P16157-20	5
P16157-21	99
P16157-22	6
P16157-23	6
Q12955	260
Q12955-4	98
Q12955-5	95
Q12955-6	53
Q12955-7	85
Q8NAG6	32
Q8NAG6-1	30
Q86XL3	58
Q86XL3-2	38
Q86XL3-3	21
Q8IV38	25
Q9NQW6	70
Q9NQW6-2	67
Q99873	20
Q99873-2	21
Q99873-3	21
Q99873-4	20
O14744	37
O14744-2	37
O14744-4	28
O14744-5	36
O14744-3	36
Q9NR22	21
Q9NR22-2	22
Q9NQ90	54
Q9NQ90-2	53
Q9BYT9	56
Q9BYT9-2	46
O15084	37
O15084-2	28
O15084-1	40
O15084-4	39
Q8N7Z5	101
Q86W74	9
Q86W74-2	7
Q8NB46	39
Q9H6X2	30
Q9H6X2-2	18
Q9H6X2-3	19
Q9H6X2-4	19
Q9H6X2-5	29
Q9H6X2-6	19
P58335	25
P58335-2	23
P58335-3	17
P58335-4	26
P19801	35
P19801-2	37
O75106	30
O75106-2	28
Q16853	33
Q16853-2	32
Q16853-3	6
P61966	10
P61966-2	8
O95782	60
O95782-2	60
Q13367	64
Q13367-2	10
Q13367-3	62
Q13367-4	64
Q9Y587	7
Q9Y587-2	6
Q9Y587-3	7
Q9Y587-4	7
Q9H0R1	22
Q9H0R1-2	13
Q02410	36
Q02410-2	36
Q99767	26
Q99767-2	26
P27695	18
P35414	14
P41181	5
P55064	6
Q13520	11
O60306	77
P05089	17
P05089-2	17
P05089-3	13
Q92974	65
Q92974-2	65
Q92974-3	64
Q15052	43
Q15052-2	34
O43307	28
O43307-2	24
O43307-3	24
O15085	80
O15085-2	83
Q8NDY3	18
Q8NDY3-2	15
Q4LE39	71
Q4LE39-2	68
Q4LE39-3	63
Q4LE39-4	41
Q96BM9	12
Q96C12	36
Q96C12-2	30
Q96C12-3	21
Q96C12-4	28
Q7Z3E5	53
Q7Z3E5-2	44
P0C7Q2	6
Q9UH62	19
Q9NQ31	14
Q9NQ31-2	13
Q9NQ31-3	12
Q7Z591	73
Q7Z591-2	68
Q7Z591-3	40
Q7Z591-4	18
Q7Z591-5	37
Q7Z591-6	27
Q7Z591-7	68
Q7Z591-8	46
Q12802	130
Q12802-2	129
Q12802-4	129
Q12802-5	9
P31749	35
P31749-2	30
P48448	16
Q3KRA9	16
Q3KRA9-2	17
Q3KRA9-3	8
Q6ZNB7	22
Q99218	1
Q99218-1	0
Q6Q4G3	50
Q6Q4G3-2	33
Q6Q4G3-3	13
Q6Q4G3-4	11
P01160	8
O95841	27
Q9BY76	19
Q9BY76-2	17
Q9BY76-3	11
Q9Y264	31
Q9Y264-2	26
Q7Z5J8	71
Q7Z5J8-2	54
Q7Z5J8-3	42
Q7Z5J8-4	18
P55345	19
P55345-2	11
P55345-3	14
P55345-4	13
P55345-5	13
P55345-6	11
P55345-7	12
Q96LA8	16
Q96LA8-2	11
Q9NW15	26
Q9NW15-2	20
Q9NW15-3	22
Q9NW15-4	19
Q9NW15-5	24
Q4KMQ2	46
Q4KMQ2-2	47
Q4KMQ2-3	47
Q4KMQ2-4	45
A1A5B4	32
A1A5B4-2	19
A1A5B4-3	10
Q53RE8	9
P50995	22
P50995-2	22
P27216	22
P27216-2	25
P04083	21
P13928	23
P13928-2	9
P13928-3	20
O43747	44
O43747-2	44
Q6VUC0	18
P25054	176
P25054-2	171
P25054-3	171
Q8IW19	21
Q6Q788	22
Q0VD83	56
Q0VD83-2	25
Q0VD83-3	55
Q0VD83-4	56
P04114	289
P02656	6
Q9BWW8	17
Q92482	3
Q92482-2	10
A6NL99	11
Q6NSI1	18
Q400G9	24
Q400G9-2	12
P39687	11
P16860	9
Q9P2R3	60
Q9P2R3-2	60
Q9P2R3-4	61
Q5VTE6	27
Q5VTE6-2	17
E9PGG2	14
Q9NU02	48
Q8IWZ3	91
Q8IWZ3-2	22
Q8IWZ3-3	20
Q8IWZ3-4	90
Q8IWZ3-5	22
Q8IWZ3-6	96
Q9HCJ1	23
Q9HCJ1-2	15
Q8NFD2	40
Q9Y2G4	46
Q9Y2G4-1	43
Q9Y2G4-3	47
Q9Y2G4-4	43
Q6ZW76	38
Q6ZW76-2	36
Q9H8Y5	40
Q9NVM4	27
Q9NVM4-2	20
Q9NVM4-3	27
Q9NVM4-4	21
Q9UPS8	108
Q9UPS8-2	84
Q9UPS8-3	108
Q8N6D5	18
Q8N6D5-3	16
Q8N283	64
Q8N283-2	7
Q6AI12	17
Q8N9B4	27
Q8N9B4-2	12
Q5TZF3	15
Q5TZF3-2	14
Q9ULJ7	70
Q9ULJ7-2	57
Q9BZ19	24
Q9UJ72	17
P07355	24
P07355-2	25
P12429	24
O75843	44
Q96PC3	9
Q96PC3-2	11
Q96PC3-4	9
Q96PC3-3	7
P63010	47
P63010-2	47
P63010-3	43
Q96CW1	29
Q96CW1-2	28
O00203	62
O00203-3	62
P06727	28
P08519	52
P02655	4
P02649	25
Q9BWW9	27
O95445	12
O95445-2	11
F7VJQ1	3
Q96PS8	3
Q96PS8-2	5
P55087	8
P55087-2	5
O14520	10
O14520-2	3
O94778	5
P10398	35
P10398-2	13
Q8WZ64	99
P18085	13
Q8N6H7	32
Q8N6H7-2	24
Q8N6H7-3	13
Q8N726	9
Q8N726-2	5
P18440	15
Q9NVP2	9
P07306	19
P07306-2	18
P07307	17
P07307-2	15
P07307-3	15
P00966	25
P18846	8
P18846-2	5
Q9Y2D1	8
Q99941	26
Q99941-2	26
Q2TAZ0	87
Q2TAZ0-3	87
Q2TAZ0-4	20
Q2TAZ0-5	8
Q86TH1	44
P56381	4
Q04656	65
Q04656-2	66
Q04656-3	68
Q04656-4	24
Q04656-5	63
Q04656-6	4
P03928	4
Q6ZP68	12
Q6RW13	6
Q6RW13-2	6
Q6RW13-3	11
Q6RW13-5	12
Q6RW13-4	9
O75129	70
O75129-2	67
O75129-3	70
O75129-4	31
O75129-6	28
Q76L83	73
Q76L83-2	48
P05026	17
P05026-2	17
Q8TBG4	27
Q8TBG4-2	27
Q8TBG4-3	23
Q06055	6
Q06055-2	9
Q06055-3	7
Q5T6C5	37
O43520	54
P98198	54
P98198-2	18
P98198-3	55
P98198-4	15
Q8TF62	54
P18850	30
P17544	18
P17544-2	17
P17544-3	17
P17544-4	19
P17544-5	8
P17544-6	18
Q7Z3C6	44
Q7Z3C6-2	40
Q7Z3C6-3	27
P20648	50
P51164	15
P56385	5
P06576	30
Q76LX8	69
Q76LX8-2	66
Q76LX8-3	66
Q76LX8-4	25
Q8TE60	60
Q8TE60-2	57
O95450	68
O95450-2	28
Q9UKP5	64
Q9UKP5-2	48
Q9UKP5-3	30
Q9UKP5-4	21
Q156A1	0
Q5T686	8
Q6E213	15
P49407	21
P49407-2	21
P32121	20
P32121-3	20
P32121-2	19
P32121-4	21
P32121-5	19
P15289	16
P15289-2	14
P15848	28
P15848-2	21
P54793	31
Q8N3C0	126
Q8N3C0-3	7
Q8N3C0-4	48
A6ND91	14
A6ND91-2	7
Q2TB18	38
Q2TB18-2	30
Q8WWH4	26
Q8WWH4-2	26
Q9Y2G3	56
P54707	51
P54707-2	51
Q9H7F0	57
Q9H7F0-2	35
Q5TC04	3
Q86TL0	28
Q86TL0-2	6
Q9H1Y0	17
Q9H1Y0-2	11
Q8WXF7	30
Q8WXF7-2	30
O43313	24
O43313-2	17
O75110	58
O75110-2	52
O75143	25
O75143-2	25
O75143-3	21
O75143-4	20
O75143-5	27
Q96BY7	121
Q8WYN0	18
Q8WYN0-2	14
Q8WYN0-3	13
Q8WYN0-5	16
Q9Y4P1	17
Q9Y4P1-2	21
Q9Y4P1-3	10
Q9Y4P1-4	11
Q9Y4P1-6	16
Q9UII2	8
Q9UII2-2	7
Q9UII2-3	6
P54259	32
Q5TC12	18
Q5TC12-2	10
Q5TC12-3	15
Q8N5M1	15
Q5VV63	57
Q5VV63-2	15
Q8TE57	63
Q8TE57-2	58
Q8TE59	61
P59510	93
P59510-2	71
P59510-3	93
O15072	67
O75173	40
O75173-2	39
Q9UNA0	61
Q9UKP4	58
Q8WWM7	42
Q8WWM7-2	42
Q8WWM7-3	40
Q8WWM7-4	40
Q8WWM7-5	41
Q8WWM7-6	44
Q8WWM7-7	23
Q8WWM7-8	41
Q8WWM7-9	41
Q92843	9
Q92843-2	20
O43521	10
O43521-2	8
O43521-3	6
O43521-4	9
O43521-5	7
O43521-6	5
O43521-7	6
O43521-8	10
O43521-9	6
O43521-10	6
O43521-11	6
O43521-12	11
O43521-13	2
O43521-14	7
O43521-15	4
O43521-16	5
O43521-17	3
O43521-18	3
O43521-19	5
O43521-20	1
P59052	5
P59052-2	2
O75752	23
Q8NCR0	27
Q8NCR0-2	15
Q9NY97	25
Q9NY97-2	25
Q6ZMB0	20
Q6ZMB0-2	15
Q6ZMB0-3	22
Q6UX72	19
Q8WXS3	9
Q8WXS3-2	7
Q8WXS3-3	8
Q8WXS3-4	4
Q8WXS3-5	4
Q8WXS3-6	3
Q9NWV8	18
Q9NWV8-2	10
Q9NWV8-3	12
Q9NXR7	19
Q9NXR7-1	23
Q9NXR7-3	19
Q9NXR7-4	19
Q9H9F9	26
O15144	22
O15511	12
O15511-2	12
P36575	16
P36575-2	14
Q96QS3	22
O43150	54
O43150-2	51
Q8TDY4	40
Q8TDY4-2	16
Q8TDY4-3	41
Q96NS5	25
Q9Y576	18
Q9H672	22
Q9H672-2	18
Q9H1I8	30
Q9H1I8-2	12
Q9H1I8-3	25
Q9Y294	8
Q96FT7	31
Q96FT7-2	20
Q96FT7-4	30
Q12797	36
Q12797-2	3
Q12797-3	6
Q12797-4	5
Q12797-5	3
Q12797-10	35
Q12797-6	3
Q12797-7	5
Q12797-8	3
Q12797-9	3
Q8IZT6	219
Q8IZT6-2	110
Q96KQ4	49
P05023	51
P05023-2	34
P05023-3	49
P05023-4	51
P13637	51
P13637-2	52
P13637-3	53
Q9UN42	16
Q9UN42-2	16
Q16720	60
Q16720-2	58
Q16720-3	57
Q16720-4	59
Q16720-5	58
Q16720-6	57
Q16720-7	57
Q16720-8	56
P23634	64
P23634-2	62
P23634-3	61
P23634-4	63
P23634-5	62
P23634-6	62
P23634-7	61
P23634-8	63
O75185	54
O75185-2	49
O75185-3	58
Q9ULI0	78
Q9ULI0-2	78
Q5T2N8	28
O95260	27
O95260-2	26
P18848	10
Q9Y6H3	14
O75947	11
O75947-2	9
P00846	3
Q8TBH0	21
Q8TBH0-2	21
Q96B67	18
A6NEK1	23
P10523	24
Q5T4W7	11
Q5T4W7-2	10
Q5T4W7-3	10
O00192	53
O00192-2	51
Q8WXH4	15
Q8WXH4-2	14
Q8WXH4-3	14
Q8WXK3	16
Q8WXK3-2	9
Q8WWX0	11
Q8WWX0-2	9
Q9NR48	154
Q9NR48-2	154
Q9BVC5	16
Q9BVC5-2	14
P78348	25
P78348-1	25
P78348-3	16
Q16515	21
Q16515-2	27
Q9UHC3	24
Q9UHC3-2	22
Q9UHC3-3	23
Q9UHC3-4	19
O95671	31
O95671-2	31
O95671-3	26
Q6HA08	18
O14525	57
O14525-2	56
O14525-3	53
Q8IXJ9	80
Q8IXJ9-2	25
Q14CW9	19
Q14CW9-2	19
Q5SQI0	23
Q5SQI0-2	21
Q5SQI0-3	23
Q5SQI0-4	21
Q5SQI0-5	20
Q5SQI0-6	21
Q5SQI0-7	20
O94817	4
O94817-4	1
Q6DD88	28
O00244	4
O43861	58
O43861-2	57
P30049	5
P48047	14
P58397	88
P58397-2	15
P58397-3	83
Q8TE58	50
Q9UP79	41
Q9P2N4	104
Q9P2N4-1	85
Q9P2N4-2	55
Q9P2N4-4	103
Q9UBB4	30
Q9UBB4-2	26
Q99700	44
Q99700-2	43
Q99700-3	2
Q99700-4	44
Q99700-5	33
O75061	36
O75061-2	39
O75061-3	26
O75061-4	36
P27037	27
P27037-2	18
Q13705	27
Q9Y2T1	41
O94766	16
O94766-2	14
Q6Y288	20
Q9Y2A9	14
O96024	15
O43505	18
Q8NHY0	35
Q8NHY0-2	31
Q8NHY0-3	30
O95704	22
O95704-2	22
O95704-3	23
O95704-4	23
O95704-5	5
O95704-6	7
P05090	10
O95236	21
O95236-2	18
O95236-3	10
Q96IL0	13
Q53RT3	11
Q8NBQ7	5
P29972	6
P29972-2	6
P29972-3	5
P29972-4	3
Q7LC44	18
P15514	9
P61204	12
P61204-2	9
P62330	9
Q8N6T3	23
Q8N6T3-2	22
Q8N6T3-3	25
Q8N6T3-4	17
Q8N6T3-5	21
P53365	21
P53365-2	17
P53365-3	19
Q8N4T4	21
Q8N4T4-2	19
Q8N4T4-3	8
Q8N4T4-4	19
Q9Y4B4	70
Q0P5N6	9
Q8IVW1	9
Q8IVW1-2	8
Q8IVW1-4	11
P40616	10
P40616-2	9
P56559	10
P56559-2	10
Q96KC2	11
Q7L4S7	14
Q7L266	13
Q7L266-2	9
P46597	17
P46597-2	14
P46597-3	20
P17405	25
P17405-2	23
P17405-3	22
P17405-4	25
O94823	63
O94823-2	27
O94823-3	22
P98196	59
Q8NB49	53
Q8NB49-2	52
Q8NB49-3	53
Q8NB49-4	52
Q4VNC1	57
Q4VNC1-2	45
Q4VNC1-3	28
Q4VNC1-4	7
O14983	51
O14983-2	50
O14983-3	44
P20020	66
P20020-2	58
P20020-3	65
P20020-4	66
P20020-5	58
P20020-6	65
Q9ULK2	37
Q9ULK2-2	6
Q9ULK2-3	33
Q9NVI7	45
Q9NVI7-2	43
Q9NVI7-3	38
P18847	10
P18847-2	4
P18847-3	6
P18847-4	7
P18847-5	9
Q96DT6	30
Q99766	18
Q99766-2	10
Q99766-3	11
Q96DE5	6
Q9H1A4	91
Q9UJX5	45
Q9UJX5-2	30
Q9UJX5-3	45
Q8WW43	8
Q8WW43-2	9
Q9BZZ5	34
Q9BZZ5-1	30
Q9BZZ5-2	34
Q9BZZ5-3	28
Q9BZZ5-5	31
Q9BZZ5-6	33
Q96LR9	16
Q96LR9-2	15
Q06481	41
Q06481-2	37
Q06481-3	40
Q06481-4	36
Q06481-5	28
Q06481-6	42
P02647	21
P55056	7
Q13790	13
P02749	19
Q9BPW4	20
Q9BPW4-2	19
Q9BPW4-3	18
Q8IXF9	9
Q8N6S5	7
Q6UW56	7
Q6UW56-2	3
Q6UW56-3	12
Q8WWN8	76
Q8WWN8-2	60
P35626	45
Q9NXL2	44
Q9NXL2-1	14
Q8N7S6	14
Q99856	29
P04424	26
P04424-2	23
P04424-3	25
Q9UBL0	26
Q9UBL0-2	4
Q9UBL0-3	24
Q9UBL0-4	23
Q9UBL0-5	3
Q9UBL0-6	3
Q9BPX5	12
Q9GZN1	23
Q9GZN1-2	9
Q9H981	36
Q9H981-2	30
Q9H981-3	17
O15145	12
P11245	13
Q8WXJ9	19
Q9H765	22
Q96DX5	13
Q96DX5-2	10
Q96DX5-3	10
Q99929	14
Q9ULZ3	10
Q9ULZ3-2	11
Q9ULZ3-3	7
Q9NY37	22
P42127	6
Q92484	25
Q92484-2	20
Q92485	21
Q92485-2	20
P08243	36
P08243-2	35
P08243-3	31
P20933	17
Q9C0F0	105
Q9C0F0-2	18
P50993	56
Q13733	53
Q13733-2	8
P14415	15
P54709	13
P54709-2	6
Q8IUZ5	23
Q8IUZ5-2	8
Q8IUZ5-3	9
P24539	17
P48201	6
Q9Y2Q0	66
Q9Y2Q0-2	67
Q9Y2Q0-3	67
Q96QE3	116
Q96QE3-2	77
Q86WG3	12
Q86WG3-3	12
Q5T9A4	43
Q5T9A4-2	13
Q5T9A4-3	39
Q9H0Y0	12
Q9H0Y0-2	10
A5YM69	20
O43488	19
O95154	15
Q8N8L6	12
Q969Q4	12
Q8N4G2	13
Q9Y689	9
Q9Y689-2	7
Q9NVJ2	12
Q9NVJ2-2	7
Q9C0K3	10
Q9C0K3-2	2
P61158	21
Q8N5I2	14
P51689	31
P51689-2	16
P51689-3	26
Q5FYA8	32
